initial_speed,initial_angle,max_range,max_height
90,25,633.1591826,73.81174392
90,27,668.6773117,85.17702695
90,29,700.9377121,97.13402958
90,31,729.7832145,109.6244985
90,33,755.0732864,122.5875814
90,35,776.6847172,135.9601234
90,37,794.5122181,149.6769749
90,39,808.4689353,163.6713088
90,41,818.4868731,177.874946
90,43,824.5172252,192.2186878
90,45,826.5306122,206.6326531
90,47,824.5172252,221.0466183
90,49,818.4868731,235.3903601
90,51,808.4689353,249.5939973
90,53,794.5122181,263.5883312
90,55,776.6847172,277.3051827
90,57,755.0732864,290.6777247
90,59,729.7832145,303.6408076
90,61,700.9377121,316.1312765
90,63,668.6773117,328.0882792
90,65,633.1591826,339.4535622
90,67,594.5563656,350.1717551
90,69,553.0569297,360.19064
90,71,508.8630561,369.4614057
90,73,462.1900529,377.9388862
90,75,413.2653061,385.5817799
90,77,362.3271723,392.3528514
90,79,309.623817,398.2191128
90,81,255.4120056,403.1519842
90,83,199.9558525,407.1274332
90,85,143.5255346,410.1260918
90,87,86.39597474,412.1333508
90,89,28.84550238,413.1394311
100,1,35.61173133,0.155401271
100,3,106.6616972,1.397475671
100,5,177.192018,3.875573211
100,7,246.8590771,7.577620848
100,9,315.3234636,12.48558258
100,11,382.2516259,18.5755473
100,13,447.3174967,25.81784533
100,15,510.2040816,34.17719291
100,17,570.6050035,43.61286414
100,19,628.2259952,54.07888939
100,21,682.786333,65.52427921
100,23,734.0202044,77.89327284
100,25,781.6780032,91.12560977
100,27,825.5275453,105.1568234
100,29,865.3552002,119.918555
100,31,900.9669315,135.338887
100,33,932.1892425,151.3426931
100,35,958.8700212,167.8520043
100,37,980.8792816,184.7863888
100,39,998.1097967,202.0633442
100,41,1010.477621,219.5986987
100,43,1017.9225,237.307022
100,45,1020.408163,255.1020408
100,47,1017.9225,272.8970596
100,49,1010.477621,290.6053829
100,51,998.1097967,308.1407375
100,53,980.8792816,325.4176928
100,55,958.8700212,342.3520774
100,57,932.1892425,358.8613885
100,59,900.9669315,374.8651946
100,61,865.3552002,390.2855266
100,63,825.5275453,405.0472582
100,65,781.6780032,419.0784719
100,67,734.0202044,432.3108088
100,69,682.786333,444.6798024
100,71,628.2259952,456.1251922
100,73,570.6050035,466.5912175
100,75,510.2040816,476.0268887
100,77,447.3174967,484.3862363
100,79,382.2516259,491.6285343
100,81,315.3234636,497.7184991
100,83,246.8590771,502.6264608
100,85,177.192018,506.3285084
100,87,106.6616972,508.806606
100,89,35.61173133,510.0486804
10,2,0.711800752,0.006214158
10,4,1.420133683,0.024826355
10,6,2.121547865,0.055745916
10,8,2.81262608,0.098822204
10,10,3.490001463,0.153845355
10,12,4.150373909,0.220547302
10,14,4.790526151,0.298603079
10,16,5.407339431,0.387632408
10,18,5.997808697,0.487201545
10,20,6.559057242,0.5968254
10,22,7.088350719,0.715969897
10,24,7.583110464,0.844054576
10,26,8.040926057,0.98045542
10,28,8.459567067,1.124507899
10,30,8.836993916,1.275510204
10,32,9.171367819,1.432726666
10,34,9.46105974,1.595391343
10,36,9.70465833,1.762711749
10,38,9.900976799,1.933872715
10,40,10.0490587,2.108040363
10,42,10.14818261,2.284366165
10,44,10.19786558,2.46199108
10,46,10.19786558,2.640049736
10,48,10.14818261,2.817674651
10,50,10.0490587,2.994000453
10,52,9.900976799,3.168168101
10,54,9.70465833,3.339329067
10,56,9.46105974,3.506649473
10,58,9.171367819,3.66931415
10,60,8.836993916,3.826530612
10,62,8.459567067,3.977532917
10,64,8.040926057,4.121585396
10,66,7.583110464,4.257986241
10,68,7.088350719,4.386070919
10,70,6.559057242,4.505215416
10,72,5.997808697,4.614839271
10,74,5.407339431,4.714408409
10,76,4.790526151,4.803437737
10,78,4.150373909,4.881493514
10,80,3.490001463,4.948195461
10,82,2.81262608,5.003218612
10,84,2.121547865,5.0462949
10,86,1.420133683,5.077214461
10,88,0.711800752,5.095826659
10,90,0,5.102040816
20,2,2.84720301,0.02485663
20,4,5.680534733,0.099305421
20,6,8.486191462,0.222983666
20,8,11.25050432,0.395288817
20,10,13.96000585,0.615381421
20,12,16.60149564,0.882189208
20,14,19.1621046,1.194412318
20,16,21.62935772,1.550529631
20,18,23.99123479,1.94880618
20,20,26.23622897,2.387301601
20,22,28.35340288,2.863879588
20,24,30.33244186,3.376218302
20,26,32.16370423,3.92182168
20,28,33.83826827,4.498031597
20,30,35.34797566,5.102040816
20,32,36.68547128,5.730906665
20,34,37.84423896,6.381565373
20,36,38.81863332,7.050846996
20,38,39.60390719,7.735490861
20,40,40.19623482,8.432161452
20,42,40.59273042,9.137464661
20,44,40.79146233,9.847964319
20,46,40.79146233,10.56019895
20,48,40.59273042,11.2706986
20,50,40.19623482,11.97600181
20,52,39.60390719,12.6726724
20,54,38.81863332,13.35731627
20,56,37.84423896,14.02659789
20,58,36.68547128,14.6772566
20,60,35.34797566,15.30612245
20,62,33.83826827,15.91013167
20,64,32.16370423,16.48634158
20,66,30.33244186,17.03194496
20,68,28.35340288,17.54428368
20,70,26.23622897,18.02086166
20,72,23.99123479,18.45935709
20,74,21.62935772,18.85763363
20,76,19.1621046,19.21375095
20,78,16.60149564,19.52597406
20,80,13.96000585,19.79278184
20,82,11.25050432,20.01287445
20,84,8.486191462,20.1851796
20,86,5.680534733,20.30885784
20,88,2.84720301,20.38330664
20,90,0,20.40816327
30,2,6.406206772,0.055927418
30,4,12.78120315,0.223437197
30,6,19.09393079,0.501713248
30,8,25.31363472,0.889399838
30,10,31.41001316,1.384608196
30,12,37.35336518,1.984925717
30,14,43.11473536,2.687427715
30,16,48.66605488,3.48869167
30,18,53.98027827,4.384813905
30,20,59.03151518,5.371428602
30,22,63.79515647,6.443729074
30,24,68.24799418,7.596491181
30,26,72.36833451,8.824098781
30,28,76.1361036,10.12057109
30,30,79.53294525,11.47959184
30,32,82.54231037,12.89454
30,34,85.14953766,14.35852209
30,36,87.34192497,15.86440574
30,38,89.10879119,17.40485444
30,40,90.44152834,18.97236327
30,42,91.33364345,20.55929549
30,44,91.78079024,22.15791972
30,46,91.78079024,23.76044763
30,48,91.33364345,25.35907186
30,50,90.44152834,26.94600408
30,52,89.10879119,28.51351291
30,54,87.34192497,30.05396161
30,56,85.14953766,31.55984526
30,58,82.54231037,33.02382735
30,60,79.53294525,34.43877551
30,62,76.1361036,35.79779625
30,64,72.36833451,37.09426857
